id,predID,succID,generation,length,volume,lobe,segment,x1,y1,z1,x2,y2,z2
0,0,1,0,123.99,23767.5,-1,-1,151.459,70.12,321.3,150.057,109.387,203.7
1,1,2,1,61.9332,7125.0,-1,-1,150.057,109.387,203.7,190.726,128.32,161.0
2,2,3,2,13.4606,496.883,5,-1,190.726,128.32,161.0,199.141,134.63,152.6
3,3,4,3,11.2828,187.528,5,6,199.141,134.63,152.6,201.244,145.148,156.1
4,4,5,4,9.13531,67.1982,5,6,201.244,145.148,156.1,204.75,150.758,162.4
5,5,6,5,3.64327,10.7047,5,6,204.75,150.758,162.4,208.256,151.459,163.1
6,6,7,6,9.58904,23.9484,5,6,208.256,151.459,163.1,216.681,148.583,159.538
7,7,8,7,5.94663,12.6238,5,6,216.681,148.583,159.538,215.862,143.359,156.817
8,8,9,8,5.0414,9.09684,5,6,215.862,143.359,156.817,213.557,138.876,156.772
9,9,10,9,3.47121,5.32402,5,6,213.557,138.876,156.772,216.797,137.658,157.033
10,9,11,9,4.84085,6.98798,5,6,213.557,138.876,156.772,209.442,136.334,156.556
11,8,12,8,2.56682,4.35919,5,6,215.862,143.359,156.817,217.103,142.802,154.64
12,12,13,9,2.59892,3.75165,5,6,217.103,142.802,154.64,218.538,144.687,153.572
13,12,14,9,3.15646,4.28846,5,6,217.103,142.802,154.64,217.369,140.251,152.801
14,7,15,7,6.79812,13.5825,5,6,216.681,148.583,159.538,223.298,149.933,158.754
15,15,16,8,4.83976,8.2193,5,6,223.298,149.933,158.754,226.682,153.312,158.01
16,16,17,9,2.38263,3.43943,5,6,226.682,153.312,158.01,225.098,154.413,159.408
17,16,18,9,4.82479,6.55511,5,6,226.682,153.312,158.01,230.781,155.15,156.25
18,15,19,8,5.38389,8.60554,5,6,223.298,149.933,158.754,228.549,148.799,158.394
19,19,20,9,4.21124,5.72152,5,6,228.549,148.799,158.394,231.968,147.625,156.235
20,19,21,9,3.87306,4.95252,5,6,228.549,148.799,158.394,232.148,148.385,159.764
21,6,22,6,4.01179,9.42998,5,6,208.256,151.459,163.1,206.124,149.7,166.007
22,22,23,7,5.87084,11.7298,5,6,206.124,149.7,166.007,201.743,146.105,167.543
23,22,24,7,2.19166,4.12133,5,6,206.124,149.7,166.007,206.552,150.025,168.132
24,24,25,8,3.88171,6.20447,5,6,206.552,150.025,168.132,203.133,151.839,168.429
25,24,26,8,3.97875,5.9855,5,6,206.552,150.025,168.132,209.661,149.023,170.405
26,5,27,5,11.9718,48.9114,5,6,204.75,150.758,162.4,206.153,159.172,170.8
27,27,28,6,5.52172,21.637,5,6,206.153,159.172,170.8,209.659,163.38,171.5
28,28,29,7,13.8035,45.9761,5,6,209.659,163.38,171.5,218.078,173.275,166.837
29,29,30,8,8.39882,23.7782,5,6,218.078,173.275,166.837,216.281,179.878,161.968
30,30,31,9,3.27826,7.88903,5,6,216.281,179.878,161.968,214.303,178.542,159.721
31,31,32,10,5.14561,10.5253,5,6,214.303,178.542,159.721,211.284,174.568,160.973
32,32,33,11,5.44399,9.46531,5,6,211.284,174.568,160.973,215.026,170.627,161.286
33,33,34,12,4.97162,7.34741,5,6,215.026,170.627,161.286,219.594,169.401,159.754
34,33,35,12,2.90342,4.03847,5,6,215.026,170.627,161.286,214.144,168.388,162.911
35,32,36,11,5.53013,9.04948,5,6,211.284,174.568,160.973,205.804,174.574,161.72
36,36,37,12,5.1283,7.13315,5,6,205.804,174.574,161.72,201.209,176.818,161.339
37,36,38,12,3.66976,4.80415,5,6,205.804,174.574,161.72,202.929,172.671,162.978
38,31,39,10,3.55356,6.84121,5,6,214.303,178.542,159.721,215.076,180.656,156.971
39,39,40,11,7.78384,12.7374,5,6,215.076,180.656,156.971,209.514,185.798,155.177
40,40,41,12,6.37777,8.87107,5,6,209.514,185.798,155.177,203.513,187.817,155.938
41,40,42,12,3.34281,4.37613,5,6,209.514,185.798,155.177,210.044,188.322,153.051
42,39,43,11,6.14725,9.46761,5,6,215.076,180.656,156.971,220.677,178.959,155.089
43,43,44,12,8.10019,10.6041,5,6,220.677,178.959,155.089,228.313,176.345,154.399
44,43,45,12,1.81195,2.23253,5,6,220.677,178.959,155.089,221.326,178.998,153.398
45,30,46,9,7.19227,16.2898,5,6,216.281,179.878,161.968,216.523,186.757,159.881
46,46,47,10,5.91269,11.3829,5,6,216.523,186.757,159.881,220.285,191.219,158.931
47,47,48,11,5.01883,8.2128,5,6,220.285,191.219,158.931,225.03,189.824,158.079
48,47,49,11,4.65735,7.17297,5,6,220.285,191.219,158.931,219.578,195.821,158.836
49,49,50,12,4.71497,6.17245,5,6,219.578,195.821,158.836,220.923,199.839,156.768
50,49,51,12,3.25808,4.01431,5,6,219.578,195.821,158.836,217.802,198.171,160.228
51,46,52,10,6.14406,11.1326,5,6,216.523,186.757,159.881,213.208,191.596,158.054
52,52,53,11,6.21561,9.57289,5,6,213.208,191.596,158.054,207.723,194.396,158.896
53,52,54,11,4.66863,6.76738,5,6,213.208,191.596,158.054,213.733,195.188,155.119
54,29,55,8,8.74995,23.3151,5,6,218.078,173.275,166.837,226.485,175.698,166.977
55,55,56,9,9.49425,21.5036,5,6,226.485,175.698,166.977,235.2,171.946,167.29
56,56,57,10,4.29744,8.27332,5,6,235.2,171.946,167.29,236.46,168.496,169.522
57,57,58,11,4.74246,7.76054,5,6,236.46,168.496,169.522,232.723,165.594,169.845
58,58,59,12,3.73366,5.19328,5,6,232.723,165.594,169.845,229.033,165.891,169.362
59,58,60,12,2.84775,3.72804,5,6,232.723,165.594,169.845,232.889,162.845,170.569
60,57,61,11,4.53437,6.98355,5,6,236.46,168.496,169.522,240.702,168.122,171.08
61,61,62,12,4.47626,5.85995,5,6,240.702,168.122,171.08,244.329,170.157,172.736
62,61,63,12,3.11431,3.83717,5,6,240.702,168.122,171.08,242.886,165.967,171.619
63,56,64,10,6.3415,11.4903,5,6,235.2,171.946,167.29,241.325,171.841,165.65
64,64,65,11,4.69608,7.23261,5,6,241.325,171.841,165.65,244.819,170.429,162.848
65,65,66,12,2.71951,3.56015,5,6,244.819,170.429,162.848,245.109,172.185,160.792
66,65,67,12,3.72237,4.58637,5,6,244.819,170.429,162.848,247.427,167.835,162.276
67,64,68,11,4.8688,7.05752,5,6,241.325,171.841,165.65,246.028,173.013,166.115
68,55,69,9,7.22672,15.405,5,6,226.485,175.698,166.977,229.271,182.366,166.897
69,69,70,10,7.00211,12.6873,5,6,229.271,182.366,166.897,227.205,189.043,167.316
70,70,71,11,2.82362,4.34877,5,6,227.205,189.043,167.316,225.191,190.156,168.954
71,70,72,11,4.87773,7.07047,5,6,227.205,189.043,167.316,227.312,193.779,166.154
72,69,73,10,5.62912,9.59958,5,6,229.271,182.366,166.897,234.185,185.08,166.484
73,73,74,11,4.47727,6.48998,5,6,234.185,185.08,166.484,238.024,185.819,168.667
74,73,75,11,4.47727,6.10822,5,6,234.185,185.08,166.484,237.037,187.728,164.27
75,28,76,7,8.07048,25.2995,5,6,209.659,163.38,171.5,216.596,166.242,174.47
76,76,77,8,4.71084,12.5525,5,6,216.596,166.242,174.47,220.081,164.298,176.973
77,77,78,9,3.18987,7.22475,5,6,220.081,164.298,176.973,220.008,161.117,177.193
78,77,79,9,3.63174,7.7417,5,6,220.081,164.298,176.973,223.011,165.366,178.836
79,76,80,8,7.99683,20.0549,5,6,216.596,166.242,174.47,222.284,171.649,176.004
80,80,81,9,4.88506,10.4134,5,6,222.284,171.649,176.004,221.418,176.454,175.837
81,80,82,9,8.53497,17.1236,5,6,222.284,171.649,176.004,230.148,174.243,178.071
82,27,83,6,13.2325,25.3014,5,6,206.153,159.172,170.8,205.452,166.184,182.0
83,83,84,7,11.4433,18.5982,5,6,205.452,166.184,182.0,200.61,174.849,187.694
84,84,85,8,7.60991,10.5128,5,6,200.61,174.849,187.694,194.606,174.27,192.334
85,85,86,9,4.92672,5.78518,5,6,194.606,174.27,192.334,191.67,170.539,191.017
86,86,87,10,6.62597,6.61344,5,6,191.67,170.539,191.017,190.41,170.488,184.512
87,87,88,11,4.96015,4.20816,5,6,190.41,170.488,184.512,188.751,173.149,180.669
88,88,89,12,2.85083,2.05583,5,6,188.751,173.149,180.669,186.294,174.579,180.883
89,88,90,12,3.24844,2.20477,5,6,188.751,173.149,180.669,189.252,174.138,177.616
90,87,91,11,3.2838,2.62208,5,6,190.41,170.488,184.512,190.88,167.985,182.439
91,91,92,12,3.17876,2.15747,5,6,190.88,167.985,182.439,192.639,165.346,182.232
92,91,93,12,2.91128,1.8597,5,6,190.88,167.985,182.439,189.755,167.243,179.859
93,86,94,10,5.88727,5.53049,5,6,191.67,170.539,191.017,190.273,167.443,195.826
94,94,95,11,3.59967,2.87429,5,6,190.273,167.443,195.826,191.641,164.488,197.36
95,94,96,11,5.61841,4.22234,5,6,190.273,167.443,195.826,187.39,166.125,200.465
96,85,97,9,6.09874,6.74017,5,6,194.606,174.27,192.334,192.129,176.928,197.232
97,97,98,10,6.84425,6.42947,5,6,192.129,176.928,197.232,191.818,179.785,203.444
98,98,99,11,6.76041,5.39811,5,6,191.818,179.785,203.444,192.533,179.38,210.154
99,99,100,12,2.36512,1.60524,5,6,192.533,179.38,210.154,193.712,177.52,209.291
100,99,101,12,6.18503,3.95094,5,6,192.533,179.38,210.154,192.163,180.54,216.218
101,98,102,11,3.25896,2.44917,5,6,191.818,179.785,203.444,190.865,182.718,202.39
102,97,103,10,3.05573,2.70169,5,6,192.129,176.928,197.232,189.395,177.882,198.209
103,103,104,11,9.47549,7.121,5,6,189.395,177.882,198.209,187.494,181.628,189.715
104,103,105,11,8.06575,5.70499,5,6,189.395,177.882,198.209,187.661,176.118,205.886
105,105,106,12,7.03923,4.23209,5,6,187.661,176.118,205.886,186.918,173.131,212.216
106,105,107,12,4.40243,2.49111,5,6,187.661,176.118,205.886,186.117,176.559,209.985
107,84,108,8,8.02778,10.4377,5,6,200.61,174.849,187.694,202.004,182.742,188.133
108,108,109,9,8.37191,9.25242,5,6,202.004,182.742,188.133,203.28,188.996,182.716
109,109,110,10,4.33191,4.06939,5,6,203.28,188.996,182.716,202.353,189.297,178.495
110,110,111,11,3.54942,2.83417,5,6,202.353,189.297,178.495,204.42,186.488,177.836
111,110,112,11,4.58346,3.44456,5,6,202.353,189.297,178.495,199.905,191.867,175.595
112,109,113,10,5.13199,4.5374,5,6,203.28,188.996,182.716,204.978,193.742,181.752
113,113,114,11,5.20888,3.91457,5,6,204.978,193.742,181.752,209.014,197.036,181.775
114,113,115,11,3.56545,2.52188,5,6,204.978,193.742,181.752,203.655,196.816,180.522
115,108,116,9,7.34509,7.64009,5,6,202.004,182.742,188.133,202.597,187.191,193.947
116,116,117,10,7.40929,6.55084,5,6,202.597,187.191,193.947,202.353,188.246,201.277
117,117,118,11,4.78382,3.59513,5,6,202.353,188.246,201.277,200.666,187.388,205.671
118,117,119,11,3.21188,2.2718,5,6,202.353,188.246,201.277,203.849,190.063,203.463
119,116,120,10,4.78984,3.98577,5,6,202.597,187.191,193.947,203.504,191.773,195.008
120,120,121,11,6.10678,4.31939,5,6,203.504,191.773,195.008,207.5,196.336,194.297
121,120,122,11,3.27356,2.17922,5,6,203.504,191.773,195.008,201.511,193.654,196.799
122,83,123,7,12.5029,19.1251,5,6,205.452,166.184,182.0,210.572,171.987,191.82
123,123,124,8,11.6997,15.212,5,6,210.572,171.987,191.82,219.23,179.399,194.465
124,124,125,9,6.64073,7.33916,5,6,219.23,179.399,194.465,225.788,180.019,193.622
125,125,126,10,3.82171,3.59011,5,6,225.788,180.019,193.622,226.752,179.793,189.931
126,126,127,11,5.04763,4.03048,5,6,226.752,179.793,189.931,223.206,177.168,187.48
127,127,128,12,4.33503,2.94225,5,6,223.206,177.168,187.48,221.298,173.283,187.241
128,127,129,12,2.61805,1.67239,5,6,223.206,177.168,187.48,221.916,178.469,185.609
129,126,130,11,4.18108,3.14216,5,6,226.752,179.793,189.931,230.337,181.692,188.917
130,130,131,12,5.98266,3.82167,5,6,230.337,181.692,188.917,232.966,186.898,187.583
131,130,132,12,3.18667,1.91587,5,6,230.337,181.692,188.917,232.55,179.401,188.841
132,125,133,10,5.4692,4.83553,5,6,225.788,180.019,193.622,230.486,180.804,196.309
133,133,134,11,5.39915,4.05756,5,6,230.486,180.804,196.309,233.873,183.697,199.361
134,133,135,11,3.38989,2.3977,5,6,230.486,180.804,196.309,233.44,179.297,197.016
135,124,136,9,6.45444,6.71368,5,6,219.23,179.399,194.465,220.827,184.951,197.341
136,136,137,10,6.71903,5.94056,5,6,220.827,184.951,197.341,220.95,187.927,203.364
137,137,138,11,5.93559,4.46071,5,6,220.95,187.927,203.364,224.352,188.707,208.165
138,137,139,11,2.98003,2.10781,5,6,220.95,187.927,203.364,218.791,189.585,204.578
139,139,140,12,4.27958,2.57294,5,6,218.791,189.585,204.578,216.026,187.337,202.208
140,139,141,12,4.32045,2.44472,5,6,218.791,189.585,204.578,218.236,192.807,207.402
141,136,142,10,5.34669,4.44914,5,6,220.827,184.951,197.341,222.798,189.495,195.326
142,142,143,11,5.15749,3.64795,5,6,222.798,189.495,195.326,222.926,192.01,190.826
143,142,144,11,4.289,2.8552,5,6,222.798,189.495,195.326,225.083,192.932,196.494
144,123,145,8,9.68089,11.8467,5,6,210.572,171.987,191.82,209.67,172.787,201.426
145,145,146,9,8.44073,8.77974,5,6,209.67,172.787,201.426,205.492,172.362,208.747
146,146,147,10,6.46427,5.71531,5,6,205.492,172.362,208.747,202.946,167.494,205.34
147,147,148,11,7.26027,5.45622,5,6,202.946,167.494,205.34,203.018,163.571,199.231
148,148,149,12,3.47383,2.21905,5,6,203.018,163.571,199.231,204.271,165.765,196.847
149,148,150,12,5.84547,3.51438,5,6,203.018,163.571,199.231,202.07,158.634,196.248
