id,generation,lobe,radius,x1,y1,z1,x2,y2,z2
0,0,-1,7.81130300993807,151.459,70.12,321.3,150.057,109.387,203.7
1,1,-1,6.051398287356644,150.057,109.387,203.7,190.726,128.32,161.0
1686,1,-1,6.191898669718661,150.057,109.387,203.7,136.734,114.296,179.2
2,2,5,3.4278351151796116,190.726,128.32,161.0,199.141,134.63,152.6
735,2,4,4.089728728088958,190.726,128.32,161.0,204.049,119.905,164.5
2666,2,1,3.1741232809594995,136.734,114.296,179.2,123.411,114.296,179.2
1687,2,-1,5.135596912101445,136.734,114.296,179.2,124.814,122.009,150.5
3,3,5,2.300115685616012,199.141,134.63,152.6,201.244,145.148,156.1
1441,3,4,2.45140138671602,204.049,119.905,164.5,218.774,113.594,149.1
1688,3,3,3.2549708200273546,124.814,122.009,150.5,119.905,125.515,144.9
202,3,5,2.800782765178565,199.141,134.63,152.6,213.165,140.24,133.7
736,3,4,3.245905581047779,204.049,119.905,164.5,208.958,118.503,170.8
2439,3,2,2.4604328051911644,124.814,122.009,150.5,109.387,103.076,130.9
2667,3,1,2.854830188327588,123.411,114.296,179.2,119.204,112.893,177.1
3266,3,1,2.4255082571116113,123.411,114.296,179.2,117.802,107.985,184.8
737,4,4,2.0417427687307947,208.958,118.503,170.8,215.97,115.698,173.6
1038,4,4,2.2492850568689975,208.958,118.503,170.8,208.958,116.399,187.6
1689,4,3,2.99272051860403,119.905,125.515,144.9,112.893,129.722,126.7
2214,4,3,2.2412237003657665,119.905,125.515,144.9,114.997,133.929,144.9
1442,4,4,1.4752910746211074,218.774,113.594,149.1,228.591,107.284,144.9
2668,4,1,2.166030175406449,119.204,112.893,177.1,107.985,99.5704,165.9
2967,4,1,1.9590414695253653,119.204,112.893,177.1,112.893,119.905,181.3
3267,4,1,1.7145813710481965,117.802,107.985,184.8,114.296,93.9608,188.3
1531,4,4,1.2077533206736129,218.774,113.594,149.1,224.384,111.491,140.0
2440,4,2,0.9145429860904721,109.387,103.076,130.9,86.2476,78.5344,107.8
203,4,5,2.629088507395852,213.165,140.24,133.7,216.671,138.838,128.1
476,4,5,2.1174411265883375,213.165,140.24,133.7,214.567,155.666,115.5
2561,4,2,0.9840229912874652,109.387,103.076,130.9,99.5704,62.4068,107.8
165,4,5,1.458811032196619,201.244,145.148,156.1,202.647,154.965,149.1
3414,4,1,1.7909191861792735,117.802,107.985,184.8,114.296,110.088,200.2
4,4,5,1.5301790052705961,201.244,145.148,156.1,204.75,150.758,162.4
2968,5,1,1.2549646847722005,112.893,119.905,181.3,95.3632,123.411,184.1
2669,5,1,1.2501260172768138,107.985,99.5704,165.9,97.4668,98.168,165.9
2808,5,1,1.1936561311196332,107.985,99.5704,165.9,102.375,74.3272,151.9
3351,5,1,1.028628581670765,114.296,93.9608,188.3,111.491,86.9488,196.0
3268,5,1,1.1940533094693893,114.296,93.9608,188.3,112.192,86.2476,185.5
799,5,4,1.4020341280615487,215.97,115.698,173.6,221.579,107.284,175.7
738,5,4,1.1408223453469488,215.97,115.698,173.6,224.384,122.009,177.1
2441,5,2,0.8431663209551037,86.2476,78.5344,107.8,81.9041,75.3258,114.241
3415,5,1,1.0860681128696577,114.296,110.088,200.2,102.375,112.192,207.9
166,5,5,1.3449552716604058,202.647,154.965,149.1,204.394,151.326,144.382
185,5,5,1.3047986262528406,202.647,154.965,149.1,199.747,163.348,147.718
1532,5,4,0.8291603211912133,224.384,111.491,140.0,234.201,103.778,125.3
1675,5,4,0.6793843917198845,224.384,111.491,140.0,225.786,117.1,137.9
259,5,5,1.8366779924393963,216.671,138.838,128.1,225.786,140.941,118.3
204,5,5,1.2212813008095609,216.671,138.838,128.1,220.177,132.527,109.2
2334,5,3,2.0927387666564377,114.997,133.929,144.9,117.802,138.838,146.3
2215,5,3,1.2894408301269527,114.997,133.929,144.9,105.18,145.85,143.5
1690,5,3,2.4820668121979703,112.893,129.722,126.7,112.192,132.527,121.1
2039,5,3,1.8763327741937403,112.893,129.722,126.7,103.778,129.021,121.1
3438,5,1,1.5179088746679261,114.296,110.088,200.2,114.997,111.491,207.9
2625,5,2,0.8801382527002011,99.5704,62.4068,107.8,91.6751,55.2562,99.9001
1039,5,4,1.1343456477951732,208.958,116.399,187.6,208.958,110.088,199.5
1196,5,4,1.2008444630957429,208.958,116.399,187.6,211.061,124.112,199.5
5,5,5,0.9670894267581495,204.75,150.758,162.4,208.256,151.459,163.1
2474,5,2,0.8179909159137319,86.2476,78.5344,107.8,79.0395,80.2842,105.522
2562,5,2,0.9072244294338095,99.5704,62.4068,107.8,105.333,54.5571,96.225
520,5,5,1.7305264674112375,214.567,155.666,115.5,213.866,159.874,108.5
1443,5,4,1.0751937993893927,228.591,107.284,144.9,239.109,107.284,144.9
1490,5,4,0.901394370165176,228.591,107.284,144.9,232.097,98.168,144.2
477,5,5,0.8074184844785003,214.567,155.666,115.5,223.683,168.288,112.0
26,5,5,1.1403820798828341,204.75,150.758,162.4,206.153,159.172,170.8
3055,5,1,1.467708116657633,112.893,119.905,181.3,110.79,129.722,188.3
478,6,5,0.7444053820548395,223.683,168.288,112.0,227.213,176.647,120.689
1683,6,4,0.6076596515078876,225.786,117.1,137.9,228.234,119.297,140.81
1676,6,4,0.6263613755429935,225.786,117.1,137.9,219.69,114.999,141.606
3490,6,1,0.7255116308868446,114.997,111.491,207.9,112.893,120.606,233.1
3439,6,1,0.9470094260654042,114.997,111.491,207.9,116.399,109.387,218.4
2743,6,1,0.7876014449769575,97.4668,98.168,165.9,84.144,93.9608,175.7
2670,6,1,0.8350578973163212,97.4668,98.168,165.9,86.9488,97.4668,159.6
3269,6,1,0.6272042306438412,112.192,86.2476,185.5,110.088,84.8452,183.4
3288,6,1,0.9911015921953833,112.192,86.2476,185.5,113.594,77.8332,186.2
1473,6,4,0.9616824002181564,239.109,107.284,144.9,248.462,104.708,146.944
739,6,4,0.985560121383824,224.384,122.009,177.1,229.292,124.112,175.7
758,6,4,0.8764029027653466,224.384,122.009,177.1,231.396,129.021,183.4
1444,6,4,0.9912810620611455,239.109,107.284,144.9,251.999,114.171,143.78
2809,6,1,0.5953135019383851,102.375,74.3272,151.9,91.8572,63.108,155.4
3008,6,1,0.93397597986327,95.3632,123.411,184.1,84.144,126.917,196.0
2969,6,1,0.9335468406974703,95.3632,123.411,184.1,90.4548,124.814,180.6
